"Plot Title: Range"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Detached (LGR S/N: 20309219, SEN S/N: 20309219)","Stopped (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
46,05/15/19 09:09:02 PM,0.45,,,,,
47,05/15/19 09:20:24 PM,0.46,,,,,
48,05/15/19 09:35:02 PM,0.47,,,,,
49,05/15/19 10:00:12 PM,0.48,,,,,
50,05/15/19 10:08:40 PM,0.49,,,,,
51,05/15/19 10:17:45 PM,0.50,,,,,
52,05/15/19 10:22:11 PM,0.51,,,,,
53,05/15/19 10:25:21 PM,0.52,,,,,
54,05/15/19 10:28:24 PM,0.53,,,,,
55,05/15/19 10:35:15 PM,0.54,,,,,
56,05/15/19 10:38:52 PM,0.55,,,,,
57,05/15/19 10:42:04 PM,0.56,,,,,
58,05/15/19 10:42:56 PM,0.57,,,,,
59,05/15/19 10:44:54 PM,0.58,,,,,
60,05/15/19 10:46:48 PM,0.59,,,,,
61,05/15/19 10:50:55 PM,0.60,,,,,
62,05/15/19 10:52:37 PM,0.61,,,,,
63,05/15/19 10:54:05 PM,0.62,,,,,
64,05/15/19 10:54:27 PM,0.63,,,,,
65,05/15/19 10:55:11 PM,0.64,,,,,
66,05/15/19 10:55:58 PM,0.65,,,,,
67,05/15/19 10:56:40 PM,0.66,,,,,
68,05/15/19 10:57:00 PM,0.67,,,,,
69,05/15/19 10:57:22 PM,0.68,,,,,
70,05/15/19 10:57:40 PM,0.69,,,,,
71,05/15/19 10:58:09 PM,0.70,,,,,
72,05/15/19 10:58:35 PM,0.71,,,,,
73,05/15/19 10:59:25 PM,0.72,,,,,
74,05/15/19 11:00:20 PM,0.73,,,,,
75,05/15/19 11:02:48 PM,0.74,,,,,
76,05/15/19 11:05:09 PM,0.75,,,,,
77,05/15/19 11:10:33 PM,0.76,,,,,
78,05/15/19 11:16:37 PM,0.77,,,,,
79,05/16/19 06:31:23 AM,0.78,,,,,
80,05/16/19 07:50:21 AM,0.79,,,,,
81,05/16/19 09:50:52 AM,0.80,,,,,
82,05/16/19 09:53:20 AM,0.81,,,,,
83,05/16/19 08:03:24 PM,0.82,,,,,
84,05/16/19 08:06:29 PM,0.83,,,,,
85,05/18/19 11:56:42 AM,0.84,,,,,
86,05/18/19 12:10:25 PM,0.85,,,,,
87,05/18/19 12:20:32 PM,0.86,,,,,
88,05/18/19 12:26:30 PM,0.87,,,,,
89,05/18/19 12:33:18 PM,0.88,,,,,
90,05/18/19 12:39:09 PM,0.89,,,,,
91,05/18/19 12:44:57 PM,0.90,,,,,
92,05/18/19 12:48:15 PM,0.91,,,,,
93,05/18/19 12:51:45 PM,0.92,,,,,
94,05/18/19 12:55:14 PM,0.93,,,,,
95,05/18/19 12:59:43 PM,0.94,,,,,
96,05/18/19 01:02:26 PM,0.95,,,,,
97,05/18/19 01:05:10 PM,0.96,,,,,
98,05/18/19 01:08:46 PM,0.97,,,,,
99,05/18/19 01:13:07 PM,0.98,,,,,
100,05/18/19 01:17:02 PM,0.99,,,,,
101,05/18/19 01:23:21 PM,1.00,,,,,
102,05/18/19 01:28:19 PM,1.01,,,,,
103,05/18/19 01:37:14 PM,1.02,,,,,
104,05/18/19 01:44:44 PM,1.03,,,,,
105,05/18/19 01:57:42 PM,1.04,,,,,
106,05/18/19 02:07:59 PM,1.05,,,,,
107,05/18/19 02:25:20 PM,1.06,,,,,
108,05/18/19 02:34:19 PM,1.07,,,,,
109,05/18/19 02:51:31 PM,1.08,,,,,
110,05/18/19 02:59:27 PM,1.09,,,,,
111,05/18/19 03:06:15 PM,1.10,,,,,
112,05/18/19 03:11:06 PM,1.11,,,,,
113,05/18/19 03:15:37 PM,1.12,,,,,
114,05/18/19 03:18:10 PM,1.13,,,,,
115,05/18/19 03:21:09 PM,1.14,,,,,
116,05/18/19 03:23:17 PM,1.15,,,,,
117,05/18/19 03:26:14 PM,1.16,,,,,
118,05/18/19 03:28:04 PM,1.17,,,,,
119,05/18/19 03:31:00 PM,1.18,,,,,
120,05/18/19 03:33:26 PM,1.19,,,,,
121,05/18/19 03:36:25 PM,1.20,,,,,
122,05/18/19 03:38:28 PM,1.21,,,,,
123,05/18/19 03:40:48 PM,1.22,,,,,
124,05/18/19 03:42:45 PM,1.23,,,,,
125,05/18/19 03:44:44 PM,1.24,,,,,
126,05/18/19 03:46:23 PM,1.25,,,,,
127,05/18/19 03:48:30 PM,1.26,,,,,
128,05/18/19 03:50:13 PM,1.27,,,,,
129,05/18/19 03:52:08 PM,1.28,,,,,
130,05/18/19 03:53:25 PM,1.29,,,,,
131,05/18/19 03:55:38 PM,1.30,,,,,
132,05/18/19 03:57:15 PM,1.31,,,,,
133,05/18/19 03:59:37 PM,1.32,,,,,
134,05/18/19 04:01:30 PM,1.33,,,,,
135,05/18/19 04:04:36 PM,1.34,,,,,
136,05/18/19 04:07:10 PM,1.35,,,,,
137,05/18/19 04:09:35 PM,1.36,,,,,
138,05/18/19 04:11:51 PM,1.37,,,,,
139,05/18/19 04:14:51 PM,1.38,,,,,
140,05/18/19 04:17:07 PM,1.39,,,,,
141,05/18/19 04:20:21 PM,1.40,,,,,
142,05/18/19 04:22:31 PM,1.41,,,,,
143,05/18/19 04:24:21 PM,1.42,,,,,
144,05/18/19 04:25:22 PM,1.43,,,,,
145,05/18/19 04:27:05 PM,1.44,,,,,
146,05/18/19 04:28:23 PM,1.45,,,,,
147,05/18/19 04:29:43 PM,1.46,,,,,
148,05/18/19 04:31:31 PM,1.47,,,,,
149,05/18/19 04:33:39 PM,1.48,,,,,
150,05/18/19 04:36:31 PM,1.49,,,,,
151,05/18/19 04:39:47 PM,1.50,,,,,
152,05/18/19 04:42:56 PM,1.51,,,,,
153,05/18/19 04:48:26 PM,1.52,,,,,
154,05/18/19 04:51:50 PM,1.53,,,,,
155,05/18/19 04:55:24 PM,1.54,,,,,
156,05/18/19 04:58:09 PM,1.55,,,,,
157,05/18/19 05:02:35 PM,1.56,,,,,
158,05/18/19 05:06:09 PM,1.57,,,,,
159,05/18/19 05:12:40 PM,1.58,,,,,
160,05/18/19 05:18:27 PM,1.59,,,,,
161,05/18/19 05:35:56 PM,1.60,,,,,
162,05/18/19 06:40:37 PM,1.61,,,,,
163,05/18/19 07:19:35 PM,1.62,,,,,
164,05/18/19 07:28:55 PM,1.63,,,,,
165,05/18/19 07:46:03 PM,1.64,,,,,
166,05/18/19 08:05:54 PM,1.65,,,,,
167,05/18/19 08:12:03 PM,1.66,,,,,
168,05/18/19 08:16:34 PM,1.67,,,,,
169,05/18/19 08:25:02 PM,1.68,,,,,
170,05/18/19 08:26:46 PM,1.69,,,,,
171,05/18/19 08:28:47 PM,1.70,,,,,
172,05/18/19 08:30:26 PM,1.71,,,,,
173,05/18/19 08:32:51 PM,1.72,,,,,
174,05/18/19 08:35:33 PM,1.73,,,,,
175,05/18/19 08:37:37 PM,1.74,,,,,
176,05/18/19 08:39:06 PM,1.75,,,,,
177,05/18/19 08:40:57 PM,1.76,,,,,
178,05/18/19 08:42:40 PM,1.77,,,,,
179,05/18/19 08:45:39 PM,1.78,,,,,
180,05/18/19 08:50:41 PM,1.79,,,,,
181,05/18/19 08:53:41 PM,1.80,,,,,
182,05/18/19 08:54:56 PM,1.81,,,,,
183,05/18/19 08:56:58 PM,1.82,,,,,
184,05/18/19 08:59:04 PM,1.83,,,,,
185,05/18/19 09:01:21 PM,1.84,,,,,
186,05/18/19 09:03:56 PM,1.85,,,,,
187,05/18/19 09:06:12 PM,1.86,,,,,
188,05/18/19 09:07:42 PM,1.87,,,,,
189,05/18/19 09:10:52 PM,1.88,,,,,
190,05/18/19 09:14:46 PM,1.89,,,,,
191,05/18/19 09:16:03 PM,1.90,,,,,
192,05/18/19 09:16:46 PM,1.91,,,,,
193,05/18/19 09:17:38 PM,1.92,,,,,
194,05/18/19 09:18:32 PM,1.93,,,,,
195,05/18/19 09:19:18 PM,1.94,,,,,
196,05/18/19 09:20:25 PM,1.95,,,,,
197,05/18/19 09:21:22 PM,1.96,,,,,
198,05/18/19 09:22:25 PM,1.97,,,,,
199,05/18/19 09:23:28 PM,1.98,,,,,
200,05/18/19 09:24:19 PM,1.99,,,,,
201,05/18/19 09:25:30 PM,2.00,,,,,
202,05/18/19 09:26:23 PM,2.01,,,,,
203,05/18/19 09:27:30 PM,2.02,,,,,
204,05/18/19 09:28:55 PM,2.03,,,,,
205,05/18/19 09:33:28 PM,2.04,,,,,
206,05/18/19 09:35:57 PM,2.05,,,,,
207,05/18/19 09:37:08 PM,2.06,,,,,
208,05/18/19 09:38:24 PM,2.07,,,,,
209,05/18/19 09:40:09 PM,2.08,,,,,
210,05/18/19 09:41:21 PM,2.09,,,,,
211,05/18/19 09:42:51 PM,2.10,,,,,
212,05/18/19 09:44:19 PM,2.11,,,,,
213,05/18/19 09:47:58 PM,2.12,,,,,
214,05/18/19 09:50:58 PM,2.13,,,,,
215,05/18/19 09:59:04 PM,2.14,,,,,
216,05/18/19 10:03:35 PM,2.15,,,,,
217,05/18/19 10:05:38 PM,2.16,,,,,
218,05/18/19 10:07:12 PM,2.17,,,,,
219,05/18/19 10:13:36 PM,2.18,,,,,
220,05/18/19 10:20:03 PM,2.19,,,,,
221,05/18/19 10:23:22 PM,2.20,,,,,
222,05/18/19 10:25:37 PM,2.21,,,,,
223,05/18/19 10:32:04 PM,2.22,,,,,
224,05/18/19 10:36:05 PM,2.23,,,,,
225,05/18/19 10:37:31 PM,2.24,,,,,
226,05/18/19 10:38:27 PM,2.25,,,,,
227,05/18/19 10:40:01 PM,2.26,,,,,
228,05/18/19 10:42:06 PM,2.27,,,,,
229,05/18/19 10:48:50 PM,2.28,,,,,
230,05/18/19 10:55:03 PM,2.29,,,,,
231,05/18/19 11:01:24 PM,2.30,,,,,
232,05/18/19 11:07:19 PM,2.31,,,,,
233,05/18/19 11:12:39 PM,2.32,,,,,
234,05/18/19 11:13:29 PM,2.33,,,,,
235,05/18/19 11:15:27 PM,2.34,,,,,
236,05/18/19 11:17:08 PM,2.35,,,,,
237,05/18/19 11:18:41 PM,2.36,,,,,
238,05/18/19 11:22:43 PM,2.37,,,,,
239,05/18/19 11:29:27 PM,2.38,,,,,
240,05/18/19 11:33:50 PM,2.39,,,,,
241,05/18/19 11:35:43 PM,2.40,,,,,
242,05/18/19 11:39:50 PM,2.41,,,,,
243,05/18/19 11:44:36 PM,2.42,,,,,
244,05/18/19 11:46:44 PM,2.43,,,,,
245,05/18/19 11:48:44 PM,2.44,,,,,
246,05/18/19 11:49:13 PM,2.45,,,,,
247,05/18/19 11:49:34 PM,2.46,,,,,
248,05/18/19 11:50:40 PM,2.47,,,,,
249,05/18/19 11:55:41 PM,2.48,,,,,
250,05/18/19 11:56:35 PM,2.49,,,,,
251,05/18/19 11:59:40 PM,2.50,,,,,
252,05/19/19 12:04:44 AM,2.51,,,,,
253,05/19/19 06:29:13 AM,2.52,,,,,
254,05/19/19 06:29:50 AM,2.53,,,,,
255,05/19/19 06:30:20 AM,2.54,,,,,
256,05/19/19 06:31:01 AM,2.55,,,,,
257,05/19/19 06:32:00 AM,2.56,,,,,
258,05/19/19 06:32:40 AM,2.57,,,,,
259,05/19/19 06:33:43 AM,2.58,,,,,
260,05/19/19 06:34:38 AM,2.59,,,,,
261,05/19/19 06:35:51 AM,2.60,,,,,
262,05/19/19 06:36:39 AM,2.61,,,,,
263,05/19/19 06:38:12 AM,2.62,,,,,
264,05/19/19 06:39:16 AM,2.63,,,,,
265,05/19/19 06:41:52 AM,2.64,,,,,
266,05/19/19 06:43:00 AM,2.65,,,,,
267,05/19/19 06:44:07 AM,2.66,,,,,
268,05/19/19 06:45:20 AM,2.67,,,,,
269,05/19/19 06:46:33 AM,2.68,,,,,
270,05/19/19 06:47:18 AM,2.69,,,,,
271,05/19/19 06:48:17 AM,2.70,,,,,
272,05/19/19 06:48:48 AM,2.71,,,,,
273,05/19/19 06:49:08 AM,2.72,,,,,
274,05/19/19 06:49:33 AM,2.73,,,,,
275,05/19/19 06:50:21 AM,2.74,,,,,
276,05/19/19 06:50:52 AM,2.75,,,,,
277,05/19/19 06:52:08 AM,2.76,,,,,
278,05/19/19 07:07:59 AM,2.77,,,,,
279,05/19/19 07:09:34 AM,2.78,,,,,
280,05/19/19 07:10:35 AM,2.79,,,,,
281,05/19/19 07:11:22 AM,2.80,,,,,
282,05/19/19 07:11:53 AM,2.81,,,,,
283,05/19/19 07:12:32 AM,2.82,,,,,
284,05/19/19 07:13:05 AM,2.83,,,,,
285,05/19/19 07:16:29 AM,2.84,,,,,
286,05/19/19 07:19:59 AM,2.85,,,,,
287,05/19/19 07:24:03 AM,2.86,,,,,
288,05/19/19 07:26:41 AM,2.87,,,,,
289,05/19/19 07:29:52 AM,2.88,,,,,
290,05/19/19 07:38:43 AM,2.89,,,,,
291,05/19/19 11:31:33 AM,2.90,,,,,
292,05/19/19 11:35:34 AM,2.91,,,,,
293,05/19/19 11:40:58 AM,2.92,,,,,
294,05/19/19 11:44:07 AM,2.93,,,,,
295,05/19/19 05:27:20 PM,2.94,,,,,
296,05/19/19 05:33:15 PM,2.95,,,,,
297,05/19/19 06:42:11 PM,2.96,,,,,
298,05/19/19 06:46:48 PM,2.97,,,,,
299,05/19/19 06:53:39 PM,2.98,,,,,
300,05/19/19 07:16:12 PM,2.99,,,,,
301,05/19/19 07:19:00 PM,3.00,,,,,
302,05/19/19 07:20:02 PM,3.01,,,,,
303,05/19/19 07:23:47 PM,3.02,,,,,
304,05/19/19 09:35:58 PM,3.03,,,,,
305,05/20/19 12:01:18 PM,3.04,,,,,
306,05/21/19 12:20:07 AM,3.05,,,,,
307,05/21/19 12:58:24 AM,3.06,,,,,
308,05/21/19 01:13:18 AM,3.07,,,,,
309,05/21/19 03:03:24 AM,3.08,,,,,
310,05/21/19 08:46:39 AM,3.09,,,,,
311,05/21/19 08:50:12 AM,3.10,,,,,
312,05/21/19 09:37:43 AM,3.11,,,,,
313,05/21/19 09:41:13 AM,3.12,,,,,
314,05/21/19 09:43:50 AM,3.13,,,,,
315,05/21/19 10:30:36 AM,3.14,,,,,
316,05/21/19 04:30:12 PM,3.15,,,,,
317,05/21/19 04:47:55 PM,3.16,,,,,
318,05/21/19 05:27:25 PM,3.17,,,,,
319,05/21/19 05:29:06 PM,3.18,,,,,
320,05/21/19 05:43:44 PM,3.19,,,,,
321,05/21/19 06:32:03 PM,3.20,,,,,
322,05/21/19 07:59:23 PM,3.21,,,,,
323,05/21/19 10:00:44 PM,3.22,,,,,
324,05/22/19 03:34:25 AM,3.23,,,,,
325,05/22/19 03:34:57 AM,3.24,,,,,
326,05/22/19 03:36:01 AM,3.25,,,,,
327,05/22/19 03:45:04 AM,3.26,,,,,
328,05/22/19 03:59:50 AM,3.27,,,,,
329,05/22/19 04:25:12 AM,3.28,,,,,
330,05/22/19 04:30:07 AM,3.29,,,,,
331,05/22/19 05:55:18 AM,3.30,,,,,
332,05/23/19 03:55:58 PM,,Logged,,,,
333,05/23/19 03:56:06 PM,,,Logged,,,
334,05/23/19 03:56:36 PM,,,,Logged,,
335,05/23/19 03:56:37 PM,,Logged,,,,
336,05/23/19 03:56:39 PM,,,Logged,,,
337,05/23/19 03:57:23 PM,,,,Logged,,
338,05/23/19 03:57:26 PM,,Logged,,,,
339,05/23/19 03:57:30 PM,,,Logged,,,
340,05/23/19 03:58:07 PM,,,Logged,,,
341,05/23/19 03:58:25 PM,,,,Logged,,
342,05/23/19 03:58:33 PM,,Logged,,,,
343,05/23/19 03:58:34 PM,,,Logged,,,
344,05/23/19 03:59:12 PM,,,,Logged,,
345,05/23/19 03:59:37 PM,,Logged,,,,
346,05/23/19 03:59:39 PM,,,Logged,,,
347,05/23/19 04:00:37 PM,,,,Logged,,
348,05/26/19 01:08:09 AM,3.31,,,,,
349,05/26/19 01:18:53 AM,3.32,,,,,
350,05/26/19 01:30:31 AM,3.33,,,,,
351,05/26/19 02:07:36 AM,3.34,,,,,
352,05/26/19 04:49:25 AM,3.35,,,,,
353,05/26/19 04:51:08 AM,3.36,,,,,
354,05/26/19 04:54:34 AM,3.37,,,,,
355,05/26/19 05:14:55 AM,3.38,,,,,
356,05/26/19 05:33:06 AM,3.39,,,,,
357,05/26/19 06:35:27 PM,3.40,,,,,
358,05/26/19 07:23:50 PM,3.41,,,,,
359,05/26/19 07:53:45 PM,3.42,,,,,
360,05/26/19 09:41:00 PM,3.43,,,,,
361,05/28/19 01:11:40 AM,3.44,,,,,
362,05/31/19 07:24:16 AM,3.45,,,,,
363,06/02/19 03:01:02 AM,3.46,,,,,
364,06/02/19 04:56:15 AM,3.47,,,,,
365,06/02/19 06:02:52 AM,3.48,,,,,
366,06/03/19 05:55:33 AM,3.49,,,,,
367,06/16/19 04:36:28 AM,3.50,,,,,
368,06/17/19 12:43:48 AM,3.51,,,,,
369,06/17/19 04:38:45 AM,3.52,,,,,
370,06/19/19 06:46:59 AM,3.53,,,,,
371,06/20/19 01:05:47 AM,3.54,,,,,
372,06/20/19 04:17:32 AM,3.55,,,,,
373,06/20/19 05:17:10 AM,3.56,,,,,
374,06/20/19 06:05:50 AM,3.57,,,,,
375,06/20/19 07:08:31 AM,3.58,,,,,
376,06/20/19 08:07:45 AM,3.59,,,,,
377,07/18/19 11:38:03 PM,3.60,,,,,
378,07/18/19 11:38:04 PM,3.61,,,,,
379,07/18/19 11:38:26 PM,3.62,,,,,
380,07/21/19 12:32:52 AM,3.63,,,,,
381,07/21/19 12:33:17 AM,3.64,,,,,
382,07/21/19 12:33:31 AM,3.65,,,,,
383,07/21/19 05:08:28 AM,3.66,,,,,
384,07/21/19 05:09:07 AM,3.67,,,,,
385,07/21/19 05:09:14 AM,3.68,,,,,
386,07/21/19 05:09:24 AM,3.69,,,,,
387,07/21/19 05:09:49 AM,3.70,,,,,
388,07/21/19 05:09:57 AM,3.71,,,,,
389,07/21/19 05:10:11 AM,3.72,,,,,
390,07/21/19 05:10:52 AM,3.73,,,,,
391,07/21/19 05:10:54 AM,3.74,,,,,
392,07/21/19 05:11:01 AM,3.75,,,,,
393,07/21/19 05:11:03 AM,3.76,,,,,
394,07/21/19 05:11:48 AM,3.77,,,,,
395,07/21/19 05:12:06 AM,3.78,,,,,
396,07/21/19 05:12:19 AM,3.79,,,,,
397,07/21/19 05:12:20 AM,3.80,,,,,
398,07/21/19 05:12:32 AM,3.81,,,,,
399,08/01/19 07:50:11 AM,3.82,,,,,
400,08/03/19 09:32:28 PM,3.83,,,,,
401,08/10/19 04:11:19 AM,3.84,,,,,
402,08/10/19 04:11:25 AM,3.85,,,,,
403,08/10/19 04:11:26 AM,3.86,,,,,
404,08/18/19 07:28:32 AM,3.87,,,,,
405,08/18/19 07:58:26 AM,3.88,,,,,
406,08/18/19 08:26:08 AM,3.89,,,,,
407,08/18/19 09:20:24 AM,3.90,,,,,
408,08/19/19 02:40:40 AM,3.91,,,,,
409,09/16/19 02:23:26 AM,3.92,,,,,
410,09/16/19 02:29:01 AM,3.93,,,,,
411,09/16/19 03:11:53 AM,3.94,,,,,
412,09/16/19 03:38:19 AM,3.95,,,,,
413,09/16/19 04:14:04 AM,3.96,,,,,
414,09/16/19 04:47:24 AM,3.97,,,,,
415,09/16/19 04:59:59 AM,3.98,,,,,
416,09/16/19 06:05:34 AM,3.99,,,,,
417,09/16/19 06:35:17 AM,4.00,,,,,
418,09/16/19 07:15:10 AM,4.01,,,,,
419,09/16/19 08:02:56 AM,4.02,,,,,
420,09/16/19 08:30:51 AM,4.03,,,,,
421,09/16/19 08:53:43 AM,4.04,,,,,
422,09/16/19 09:09:49 AM,4.05,,,,,
423,09/19/19 09:17:53 PM,4.06,,,,,
424,09/19/19 09:18:29 PM,4.07,,,,,
425,09/19/19 09:18:31 PM,4.08,,,,,
426,09/19/19 09:18:39 PM,4.09,,,,,
427,09/20/19 05:25:09 AM,4.10,,,,,
428,09/20/19 05:25:16 AM,4.11,,,,,
429,09/20/19 05:25:21 AM,4.12,,,,,
430,09/25/19 12:23:05 PM,,Logged,,,,
431,09/25/19 12:23:22 PM,,,Logged,,,
432,09/25/19 12:23:41 PM,,,,Logged,,
433,09/25/19 12:23:42 PM,,Logged,,,,
434,09/25/19 12:24:12 PM,,,,Logged,,
435,09/25/19 12:24:14 PM,,Logged,,,,
436,09/25/19 12:25:07 PM,,,,Logged,,
437,09/25/19 12:25:11 PM,,Logged,,,,
438,09/25/19 12:25:59 PM,,,,Logged,,
439,09/25/19 12:26:00 PM,,Logged,,,,
440,09/25/19 12:27:05 PM,,,,Logged,,
441,09/25/19 12:27:08 PM,,Logged,,,,
442,09/25/19 12:27:25 PM,,,Logged,,,
443,09/25/19 12:28:01 PM,,,Logged,,,
444,09/25/19 12:28:21 PM,,,Logged,,,
445,09/25/19 12:28:32 PM,,,,Logged,,
446,09/25/19 12:29:08 PM,,Logged,,,,
447,09/25/19 12:29:15 PM,,,Logged,,,
448,09/25/19 12:30:47 PM,4.12,,,,Logged,Logged
